Employee_ID,Age,Industry,Job_Role,Experience_Years,Company_Size,Remote_Work_Type,AI_Tools_Used,Daily_AI_Usage_Hours,Primary_AI_Tool,Tasks_Automated_Percent,Time_Saved_Per_Day_Minutes,Learning_Time_Per_Week_Hours,Meetings_Per_Day,Work_Hours_Per_Day,Job_Satisfaction,Productivity_Change,Salary_USD,Promotion_Last_Year,Fear_of_AI_Replacing_Job,Target
4641,31,Education,Designer,4,Small,Remote,0,1.8,Copilot,52,156,1.4,5,7.9,Medium,Same,47852,No,High,Low
4642,36,Marketing,Manager,2,MNC,Onsite,0,0.8,Midjourney,61,77,5.5,3,7.8,Low,Decreased,40469,No,Low,Low
4643,40,Finance,Data Scientist,9,MNC,Onsite,3,4.9,Midjourney,0,67,5.4,0,4.8,Medium,Same,70349,No,Low,Low
4644,53,Finance,Software Developer,3,MNC,Hybrid,3,3.4,Claude,18,38,2.6,4,9.5,Medium,Decreased,46259,No,High,Low
4645,32,Tech,Designer,10,MNC,Onsite,0,1.7,Gemini,69,77,1.7,3,4.2,High,Same,49110,No,High,Low
4646,49,Marketing,Software Engineer,17,Medium,Remote,4,4.2,Gemini,4,82,2.1,0,4.5,High,Same,90592,No,Medium,Low
4647,22,Education,Manager,0,MNC,Hybrid,1,2.8,Copilot,49,10,1.6,1,5.0,High,Same,38820,No,Low,Low
4648,47,Education,Data Scientist,5,Medium,Hybrid,4,2.4,Claude,41,140,3.4,1,7.1,High,Same,66047,Yes,Medium,Low
4649,46,Tech,Data Analyst,15,Medium,Remote,2,0.6,Copilot,32,26,2.5,6,9.6,Low,Decreased,71446,Yes,Medium,Low
4650,22,Tech,HR,0,Medium,Onsite,2,4.1,Claude,56,111,2.8,6,6.0,Medium,Same,44497,Yes,High,High
4651,29,Retail,Designer,7,Medium,Remote,2,4.6,Claude,20,2,6.0,5,9.2,Low,Same,61388,No,Low,Low
4652,40,Healthcare,Consultant,8,Medium,Onsite,1,4.9,Gemini,75,60,2.9,4,7.6,High,Increased,55893,No,Medium,Low
4653,53,Finance,HR,26,Large,Hybrid,3,2.9,Copilot,16,68,1.4,6,4.5,Low,Same,98739,No,High,Low
4654,47,Finance,Data Scientist,15,MNC,Remote,4,2.5,Gemini,19,33,1.8,6,5.2,Medium,Decreased,68324,No,Low,Low
4655,35,Education,Software Developer,8,Small,Onsite,1,2.1,Gemini,7,4,2.5,0,9.6,Low,Same,53619,No,Medium,Low
4656,46,Tech,Data Scientist,6,Large,Hybrid,0,0.9,Gemini,73,167,1.4,1,6.3,Medium,Decreased,56166,No,Low,Low
4657,33,Tech,Consultant,3,Medium,Onsite,1,0.3,ChatGPT,19,22,2.8,2,6.2,Medium,Same,36085,No,Medium,Low
4658,35,Retail,Consultant,2,Large,Remote,0,1.2,Midjourney,24,141,2.6,5,5.5,Low,Same,46955,No,High,Low
4659,45,Marketing,Data Scientist,8,Small,Hybrid,3,2.9,Grok,12,161,0.2,1,9.3,High,Increased,60689,No,Medium,Low
4660,46,Healthcare,Software Developer,4,Large,Onsite,1,0.1,Copilot,4,42,0.4,5,6.7,Low,Increased,41348,No,Low,Low
4661,25,Marketing,Software Engineer,2,MNC,Hybrid,1,4.0,Midjourney,23,49,3.0,0,6.9,High,Increased,48495,No,Medium,Low
4662,42,Healthcare,Software Developer,13,Medium,Onsite,4,0.8,Copilot,39,81,5.8,1,5.7,Medium,Same,65572,Yes,Medium,Low
4663,41,Marketing,Consultant,5,MNC,Onsite,4,0.2,Claude,76,98,5.1,2,4.9,Low,Same,60331,Yes,Low,Low
4664,31,Tech,HR,7,Medium,Hybrid,3,1.4,Midjourney,41,145,0.3,2,5.4,Low,Same,51180,Yes,Medium,Low
4665,30,Retail,Software Engineer,8,Medium,Onsite,2,1.0,Gemini,15,109,5.6,7,5.2,Medium,Decreased,59497,No,Medium,Low
4666,47,Marketing,Data Scientist,11,Small,Remote,4,2.5,Midjourney,53,123,2.6,3,7.9,Medium,Increased,76018,Yes,Medium,Low
4667,45,Retail,Consultant,0,Large,Onsite,4,0.7,Gemini,10,172,3.3,2,5.3,Medium,Decreased,44866,No,Low,Low
4668,43,Tech,HR,3,Large,Remote,2,2.6,Grok,18,81,2.1,0,9.0,Low,Decreased,46524,No,Medium,Low
4669,38,Healthcare,Data Scientist,8,Small,Onsite,2,1.0,Gemini,38,161,4.6,4,6.3,High,Decreased,55939,Yes,Low,Low
4670,49,Healthcare,Manager,12,MNC,Remote,2,4.3,Grok,46,80,1.4,4,5.6,Low,Decreased,59928,Yes,Low,Low
4671,25,Healthcare,Software Engineer,1,MNC,Hybrid,2,3.1,Claude,75,138,5.4,4,8.5,High,Same,39121,Yes,High,High
4672,26,Retail,Software Developer,3,Small,Onsite,4,4.8,Midjourney,0,7,2.6,2,4.6,Medium,Increased,53729,No,Medium,Low
4673,23,Finance,Software Developer,0,Large,Remote,2,1.6,Copilot,67,139,3.5,4,8.9,Low,Increased,47487,Yes,High,Low
4674,37,Marketing,Data Scientist,14,Large,Onsite,2,4.3,Midjourney,12,54,1.8,6,6.3,Medium,Increased,75513,No,Medium,Low
4675,29,Marketing,Software Developer,1,Medium,Hybrid,2,1.7,Midjourney,21,27,1.7,0,5.1,Low,Same,37783,No,Medium,Low
4676,37,Tech,Data Analyst,12,Medium,Onsite,1,1.1,ChatGPT,41,69,2.0,3,5.1,Low,Same,56259,No,High,Low
4677,52,Education,Software Developer,30,Small,Remote,2,0.3,Claude,44,43,4.6,6,8.3,High,Decreased,91398,Yes,Low,Low
4678,24,Tech,HR,0,Large,Onsite,4,3.8,Grok,26,136,4.4,3,4.1,High,Increased,44036,No,Medium,Low
4679,50,Marketing,Software Developer,12,Small,Onsite,3,0.7,Copilot,28,28,0.8,1,8.3,Medium,Decreased,64246,No,Low,Low
4680,29,Education,Data Analyst,5,MNC,Onsite,2,0.4,Grok,34,177,0.7,1,4.8,Low,Increased,43895,Yes,Medium,Low
4681,45,Retail,Consultant,6,Large,Remote,2,0.2,ChatGPT,35,44,3.0,2,6.6,High,Same,61113,Yes,Low,Low
4682,48,Tech,Consultant,4,Medium,Hybrid,3,0.9,Gemini,0,169,2.0,0,5.6,High,Decreased,61059,No,Medium,Low
4683,41,Tech,Data Analyst,13,MNC,Hybrid,1,2.2,Midjourney,51,53,5.0,5,8.1,Medium,Increased,57182,No,High,Low
4684,52,Healthcare,Manager,4,Large,Remote,2,4.2,Claude,23,111,1.4,7,9.7,Medium,Same,55712,No,Low,Low
4685,37,Education,HR,13,MNC,Hybrid,1,1.6,Grok,8,176,2.9,1,7.3,High,Decreased,66436,No,Low,Low
4686,50,Education,Data Analyst,27,Medium,Remote,4,2.4,Gemini,70,168,2.9,0,6.6,Low,Decreased,102262,Yes,High,Low
4687,29,Education,Software Engineer,4,Medium,Remote,4,1.1,Copilot,5,73,1.8,3,9.7,Medium,Same,58683,No,High,Low
4688,54,Healthcare,Consultant,24,Small,Remote,2,4.7,Copilot,35,132,4.5,6,7.2,Low,Same,87184,Yes,Medium,Low
4689,31,Finance,Designer,5,MNC,Remote,1,4.2,Copilot,76,13,2.2,2,7.8,High,Same,50848,No,Low,Low
4690,33,Retail,Designer,4,Small,Onsite,3,1.1,Grok,52,78,3.4,4,8.8,Medium,Decreased,60267,Yes,High,Low
4691,24,Marketing,Designer,0,Medium,Hybrid,0,3.4,Gemini,3,58,5.2,3,5.7,High,Increased,28098,No,Medium,Low
4692,25,Retail,Designer,0,Small,Remote,0,2.8,Midjourney,25,21,1.3,4,8.6,High,Same,36127,No,Medium,Low
4693,45,Healthcare,Manager,12,MNC,Remote,4,2.7,ChatGPT,42,3,1.3,6,6.5,Low,Increased,76102,Yes,Medium,Low
4694,33,Healthcare,Data Analyst,3,Small,Remote,3,0.5,Claude,77,58,5.8,2,6.5,Low,Decreased,49600,Yes,High,Low
4695,32,Healthcare,Data Analyst,10,Large,Onsite,3,2.0,Copilot,48,50,2.9,7,7.8,High,Decreased,65501,Yes,High,Low
4696,53,Marketing,Software Engineer,30,Small,Hybrid,0,2.6,Claude,41,121,3.9,2,9.5,Medium,Decreased,101833,No,Low,Low
4697,54,Healthcare,Data Analyst,17,Small,Remote,3,4.1,Midjourney,36,39,0.7,0,9.9,Low,Increased,71168,Yes,Low,Low
4698,54,Marketing,Software Engineer,22,Small,Hybrid,4,3.7,Gemini,7,83,0.3,6,9.6,Low,Same,97557,No,Low,Low
4699,46,Marketing,Designer,13,Medium,Onsite,2,1.9,ChatGPT,77,66,1.1,7,9.0,High,Decreased,59246,Yes,Low,Low
4700,47,Marketing,Manager,6,Medium,Remote,3,1.8,Copilot,12,19,2.5,5,9.5,Low,Increased,62108,No,Medium,Low
4701,54,Healthcare,Data Analyst,22,MNC,Remote,4,3.3,Gemini,60,55,3.5,7,7.3,High,Increased,97312,Yes,Low,Low
4702,39,Healthcare,Software Engineer,3,Small,Remote,1,4.1,ChatGPT,75,145,3.9,1,10.0,Low,Increased,46974,No,High,High
4703,30,Retail,Data Scientist,4,Large,Hybrid,2,2.6,ChatGPT,76,67,4.3,2,8.3,Low,Same,47779,Yes,Medium,Low
4704,32,Education,Designer,1,Small,Hybrid,0,4.4,ChatGPT,25,113,3.7,3,8.8,Low,Increased,27654,No,Medium,Low
4705,38,Retail,Consultant,5,Small,Onsite,4,2.2,Claude,15,173,5.5,4,6.2,Medium,Increased,65044,No,Low,Low
4706,48,Finance,Manager,11,MNC,Hybrid,1,2.4,Midjourney,54,80,3.7,3,4.9,High,Same,57630,No,Medium,Low
4707,54,Education,Data Scientist,2,Large,Onsite,1,1.5,Midjourney,40,167,2.9,7,8.7,Low,Same,49117,No,Medium,Low
4708,31,Healthcare,Data Scientist,5,Large,Remote,2,3.0,Grok,39,119,3.1,4,4.2,Low,Decreased,48587,Yes,Low,Low
4709,24,Tech,HR,1,Medium,Hybrid,0,2.5,Grok,56,130,4.3,4,7.0,High,Increased,40613,No,Medium,Low
4710,26,Retail,Software Engineer,2,MNC,Remote,2,4.3,ChatGPT,75,56,0.2,0,6.3,Low,Same,50125,Yes,Medium,Low
4711,39,Marketing,Data Scientist,16,Medium,Hybrid,3,1.1,Midjourney,21,128,2.7,6,8.1,Low,Same,83401,No,High,Low
4712,26,Healthcare,Designer,0,MNC,Hybrid,2,2.3,Claude,33,120,0.4,6,6.9,High,Same,49617,Yes,Low,Low
4713,38,Retail,Designer,16,Small,Hybrid,1,2.3,Grok,74,98,5.8,3,6.1,High,Decreased,73171,No,High,Low
4714,54,Tech,Software Developer,22,Medium,Hybrid,1,2.9,Grok,41,50,5.1,3,4.8,Medium,Decreased,76706,No,High,Low
4715,46,Education,Consultant,14,MNC,Onsite,3,0.6,Copilot,61,37,0.6,0,6.6,Low,Increased,75485,Yes,Low,Low
4716,40,Finance,Data Analyst,17,Medium,Remote,0,2.5,Copilot,45,34,5.4,0,8.2,Medium,Same,67960,No,Low,Low
4717,48,Finance,HR,11,Large,Hybrid,3,0.4,Claude,51,127,0.6,5,9.6,Medium,Increased,61275,Yes,Medium,Low
4718,29,Retail,Software Engineer,1,Small,Remote,1,0.2,Grok,54,70,4.2,3,9.3,Medium,Decreased,41041,No,Low,Low
4719,44,Retail,HR,1,Medium,Onsite,1,1.7,Midjourney,48,118,4.5,6,8.0,Low,Increased,34541,No,Low,Low
4720,36,Retail,Software Developer,1,MNC,Hybrid,2,0.1,ChatGPT,16,172,3.0,1,4.3,High,Same,50951,No,Medium,Low
4721,40,Tech,Manager,2,Medium,Hybrid,3,1.0,Gemini,20,92,1.7,0,8.2,Medium,Same,38141,No,Low,Low
4722,43,Healthcare,Consultant,15,Large,Onsite,2,3.8,Copilot,58,13,2.8,1,6.3,Medium,Increased,65504,Yes,High,Low
4723,35,Healthcare,Designer,10,Medium,Hybrid,1,2.0,Grok,4,103,4.0,3,8.3,Medium,Increased,65528,No,High,Low
4724,42,Finance,Software Engineer,16,MNC,Hybrid,0,2.6,Claude,37,129,0.5,1,7.3,Low,Decreased,58191,No,Medium,Low
4725,53,Tech,HR,20,Large,Hybrid,1,3.7,Copilot,55,31,4.8,5,9.6,Low,Increased,84148,No,Medium,Low
4726,37,Tech,Software Developer,15,Small,Onsite,3,1.4,ChatGPT,27,146,0.1,6,9.0,High,Decreased,81311,No,Medium,Low
4727,31,Education,Data Analyst,3,Small,Remote,0,0.8,Gemini,57,103,2.0,1,6.8,High,Increased,41926,No,Medium,Low
4728,48,Retail,Software Developer,9,Medium,Remote,4,1.9,Grok,21,62,5.7,5,5.7,Low,Increased,65027,No,Low,Low
4729,51,Retail,Data Analyst,7,MNC,Remote,3,4.1,Grok,37,25,2.1,3,5.0,High,Increased,53183,Yes,Low,Low
4730,37,Healthcare,Software Engineer,13,Medium,Remote,4,3.8,Grok,72,138,2.0,1,5.7,Low,Same,63131,Yes,Medium,High
4731,49,Finance,Software Engineer,24,MNC,Remote,2,3.8,Gemini,43,82,1.4,2,5.5,Medium,Increased,88812,Yes,High,Low
4732,35,Retail,Data Analyst,7,Medium,Remote,1,4.6,Copilot,50,49,2.2,6,7.9,Medium,Decreased,46484,No,High,Low
4733,48,Tech,Data Analyst,14,MNC,Hybrid,1,0.5,ChatGPT,34,140,4.2,6,9.2,Low,Decreased,65313,No,High,Low
4734,25,Finance,Data Analyst,0,MNC,Onsite,1,2.4,Claude,0,10,3.8,5,4.6,Low,Same,31460,No,Medium,Low
4735,46,Education,Data Scientist,9,Small,Hybrid,4,0.8,Grok,19,27,5.5,4,9.7,Medium,Increased,73608,No,Low,Low
4736,26,Education,Consultant,0,Medium,Remote,4,1.6,Gemini,5,142,2.8,7,5.3,Medium,Same,50956,No,High,Low
4737,47,Education,Software Engineer,22,Large,Onsite,2,2.1,Grok,34,9,0.5,4,8.9,High,Increased,86663,Yes,High,Low
4738,30,Marketing,Data Scientist,7,Small,Remote,4,1.5,Claude,22,38,1.9,7,8.0,Low,Same,60782,No,Low,Low
4739,52,Healthcare,Software Engineer,9,MNC,Remote,1,2.2,Grok,47,166,2.0,4,6.7,Medium,Increased,47653,No,High,Low
4740,40,Healthcare,Manager,7,MNC,Onsite,0,0.6,ChatGPT,77,125,4.2,3,4.6,Low,Decreased,55151,No,High,Low
4741,43,Retail,Data Analyst,6,Medium,Onsite,4,4.0,Midjourney,22,71,1.6,4,4.5,Low,Decreased,59311,No,High,Low
4742,49,Marketing,Designer,0,MNC,Hybrid,2,3.0,Gemini,24,161,2.7,2,5.6,Medium,Decreased,45541,No,High,Low
4743,53,Education,Data Analyst,21,Medium,Remote,4,1.3,Grok,61,18,2.4,6,5.7,High,Increased,95484,Yes,Medium,Low
4744,38,Marketing,Manager,0,Small,Remote,2,4.2,ChatGPT,32,163,2.1,7,8.1,Low,Increased,48294,Yes,Low,Low
4745,41,Finance,Designer,1,Small,Hybrid,1,1.0,Gemini,77,157,5.2,5,6.5,Medium,Decreased,48754,No,High,Low
4746,46,Retail,Data Analyst,12,Large,Onsite,2,2.4,ChatGPT,28,161,4.4,3,6.3,High,Increased,64366,No,High,Low
4747,48,Retail,Software Engineer,23,Large,Remote,0,1.8,Claude,32,158,4.9,6,5.7,Low,Same,73575,No,Low,Low
4748,42,Finance,Software Developer,1,MNC,Onsite,4,1.1,Claude,31,177,4.3,3,9.7,Low,Decreased,41150,Yes,High,Low
4749,45,Retail,HR,19,Large,Onsite,2,2.4,ChatGPT,6,131,0.6,3,5.7,Low,Increased,73191,No,Medium,Low
4750,53,Tech,Manager,17,Small,Onsite,1,1.4,Claude,24,15,3.0,5,6.8,Medium,Increased,65590,No,Medium,Low
4751,34,Tech,Designer,7,Large,Remote,0,1.2,Midjourney,31,128,2.3,6,4.3,Medium,Increased,47243,No,High,Low
4752,23,Healthcare,Consultant,1,Medium,Remote,4,1.5,Grok,31,115,3.0,5,6.3,Medium,Increased,46772,Yes,Low,Low
4753,24,Finance,Manager,1,Large,Remote,4,1.3,Midjourney,60,13,1.2,2,5.8,Low,Same,56951,Yes,Medium,Low
4754,53,Tech,HR,9,Medium,Onsite,3,2.4,Claude,53,101,1.6,4,5.4,Low,Decreased,59042,Yes,Low,Low
4755,38,Retail,Data Scientist,6,Medium,Remote,4,3.7,Midjourney,12,51,0.8,4,9.6,Medium,Same,67149,No,High,Low
4756,52,Retail,Data Analyst,3,MNC,Onsite,1,2.1,Midjourney,78,39,1.0,2,5.8,High,Same,46505,No,High,Low
4757,40,Tech,Software Engineer,16,MNC,Remote,0,1.2,Copilot,40,22,5.0,2,9.5,Medium,Increased,59790,No,Medium,Low
4758,51,Retail,Data Analyst,1,Large,Remote,1,2.9,Copilot,0,139,0.9,2,8.1,Low,Same,45248,No,Low,Low
4759,41,Healthcare,Designer,5,Large,Hybrid,3,1.6,Copilot,25,57,5.3,5,5.2,Low,Same,57930,No,Medium,Low
4760,41,Retail,Manager,18,Medium,Remote,2,1.0,Claude,8,138,2.7,0,8.1,High,Decreased,71523,No,Low,Low
4761,34,Finance,Data Analyst,7,Small,Remote,2,4.0,ChatGPT,64,73,1.5,5,4.8,Low,Increased,48356,Yes,Low,Low
4762,30,Retail,Software Engineer,8,Large,Onsite,2,3.8,Grok,52,138,5.7,6,6.9,Medium,Decreased,49560,Yes,High,High
4763,44,Healthcare,HR,12,Large,Remote,2,0.8,Copilot,17,86,2.8,4,7.6,High,Increased,58556,No,Medium,Low
4764,22,Education,Data Analyst,0,Small,Remote,4,4.3,Midjourney,37,155,4.0,6,5.6,Medium,Increased,51651,Yes,Medium,Low
4765,34,Retail,Software Developer,6,Large,Remote,2,3.9,ChatGPT,76,31,4.3,7,7.8,Medium,Same,52584,Yes,Medium,Low
4766,42,Education,Data Analyst,11,Medium,Onsite,3,1.9,ChatGPT,41,38,5.1,4,4.6,High,Same,67247,Yes,Low,Low
4767,50,Marketing,Software Developer,3,Large,Onsite,2,0.3,Claude,35,169,5.9,3,8.8,High,Decreased,55221,Yes,High,Low
4768,32,Retail,Data Analyst,1,MNC,Hybrid,0,2.3,Copilot,58,32,3.1,6,5.9,Low,Increased,32084,No,Medium,Low
4769,53,Marketing,Consultant,20,MNC,Onsite,2,1.6,Gemini,66,88,5.2,6,7.9,High,Decreased,81339,Yes,Medium,Low
4770,35,Marketing,Software Developer,10,Large,Hybrid,2,3.9,Copilot,22,143,3.2,6,9.9,Medium,Decreased,66454,No,High,Low
4771,44,Retail,Manager,2,MNC,Remote,2,1.5,Grok,68,31,3.0,0,7.9,High,Increased,36356,Yes,High,Low
4772,23,Marketing,Manager,1,Small,Hybrid,4,3.7,Claude,1,172,5.8,7,8.0,Medium,Same,55351,No,Low,Low
4773,42,Education,HR,19,Medium,Onsite,0,3.4,Grok,8,85,2.1,2,8.5,Medium,Same,63317,No,High,Low
4774,31,Marketing,Consultant,0,MNC,Remote,1,4.6,Grok,17,58,0.0,3,8.2,High,Same,32006,No,Low,Low
4775,38,Marketing,HR,9,MNC,Hybrid,2,2.7,Copilot,67,8,2.2,7,4.5,Medium,Increased,54439,Yes,Medium,Low
4776,24,Marketing,HR,1,Large,Onsite,0,1.8,ChatGPT,56,56,2.1,6,9.1,Medium,Same,43306,No,Low,Low
4777,22,Retail,Consultant,0,MNC,Onsite,2,1.4,Claude,22,10,2.4,5,6.1,High,Increased,49678,No,High,Low
4778,33,Retail,HR,8,MNC,Remote,4,4.0,Claude,19,58,5.8,0,9.5,Medium,Decreased,54148,No,High,Low
4779,38,Healthcare,Data Analyst,12,Large,Remote,3,3.6,Midjourney,57,82,1.4,7,5.5,High,Increased,73068,Yes,Medium,Low
4780,29,Finance,Consultant,4,MNC,Hybrid,0,1.5,ChatGPT,78,90,4.2,1,7.6,Low,Increased,44151,No,Low,Low
4781,29,Marketing,Software Engineer,7,MNC,Onsite,4,2.4,Claude,2,162,2.1,2,8.2,Medium,Same,69205,No,Medium,Low
4782,36,Healthcare,HR,12,Medium,Hybrid,3,1.4,Midjourney,57,155,1.8,0,6.3,Medium,Same,60440,Yes,Low,Low
4783,41,Education,Consultant,5,Small,Remote,2,3.4,Claude,55,142,1.2,5,4.1,Medium,Decreased,45647,Yes,High,High
4784,41,Retail,Software Developer,10,MNC,Remote,0,0.6,ChatGPT,16,104,3.5,4,9.8,High,Same,55456,No,Medium,Low
4785,44,Marketing,Manager,21,MNC,Hybrid,1,3.5,Claude,64,165,0.5,3,8.0,Medium,Increased,81965,No,High,High
4786,51,Education,HR,28,Small,Onsite,3,0.0,ChatGPT,35,34,4.9,2,7.4,Medium,Decreased,94611,Yes,High,Low
4787,28,Retail,Data Scientist,3,Medium,Remote,2,4.6,ChatGPT,26,135,0.4,5,5.6,Low,Increased,50301,No,High,Low
4788,30,Healthcare,Designer,7,Medium,Remote,3,4.2,Grok,0,131,4.4,7,7.7,Medium,Decreased,54477,No,Low,Low
4789,36,Tech,HR,2,MNC,Remote,4,0.0,ChatGPT,76,138,2.4,0,6.7,Medium,Decreased,49512,Yes,Medium,Low
4790,25,Retail,Consultant,1,Large,Onsite,1,0.2,Claude,53,60,2.6,7,6.8,Medium,Same,32917,No,High,Low
4791,50,Education,Software Engineer,18,Small,Hybrid,3,2.8,Claude,39,150,5.1,7,4.4,High,Decreased,82210,Yes,Low,Low
4792,53,Retail,Consultant,21,Medium,Remote,0,4.0,Grok,48,33,2.5,0,9.5,Low,Increased,69706,No,Low,Low
4793,49,Marketing,Manager,4,Small,Onsite,4,2.9,Grok,75,159,4.0,3,4.2,Medium,Increased,55302,Yes,Medium,Low
4794,25,Education,Software Engineer,3,Medium,Hybrid,2,0.7,Claude,79,171,3.8,7,5.2,High,Increased,55977,Yes,Medium,Low
4795,33,Tech,Software Engineer,9,Medium,Onsite,3,4.6,Midjourney,79,56,5.5,6,7.8,High,Same,58004,Yes,Medium,Low
4796,46,Retail,Data Scientist,13,MNC,Hybrid,1,2.8,Copilot,8,138,1.3,4,9.9,High,Same,60601,No,Low,Low
4797,27,Finance,HR,2,Medium,Remote,0,2.1,Grok,40,23,3.1,4,9.3,Medium,Increased,38992,No,High,Low
4798,26,Healthcare,Data Analyst,3,Medium,Hybrid,0,0.2,ChatGPT,42,79,1.9,7,5.2,Low,Same,37947,No,High,Low
4799,33,Tech,HR,9,Medium,Remote,0,1.8,Copilot,34,103,5.8,4,4.3,High,Increased,50403,No,Low,Low
4800,43,Finance,Designer,4,MNC,Hybrid,4,1.5,ChatGPT,74,106,5.8,0,9.0,High,Same,57414,Yes,Medium,Low
4801,39,Marketing,Designer,17,Small,Onsite,0,0.1,Gemini,16,40,0.8,6,5.7,Low,Same,73924,No,High,Low
4802,49,Retail,Data Analyst,13,MNC,Remote,2,2.1,Grok,38,20,3.8,5,8.2,Medium,Increased,74582,Yes,High,Low
4803,53,Marketing,Designer,4,Medium,Hybrid,1,1.0,Grok,13,1,1.5,6,8.6,High,Decreased,43136,No,Medium,Low
4804,51,Marketing,Software Engineer,14,MNC,Hybrid,4,1.2,Grok,16,53,4.3,6,4.2,Medium,Increased,67069,No,Medium,Low
4805,41,Marketing,HR,10,Small,Onsite,1,4.9,ChatGPT,47,65,5.4,7,4.7,High,Decreased,49892,No,Medium,Low
4806,29,Healthcare,Data Scientist,1,Small,Remote,1,0.7,Grok,41,110,3.7,6,5.7,High,Increased,40078,No,Medium,Low
4807,30,Healthcare,Software Engineer,4,Small,Remote,4,4.6,ChatGPT,25,5,4.2,0,5.5,High,Decreased,46117,No,High,Low
4808,45,Retail,Software Engineer,12,Small,Hybrid,4,2.5,ChatGPT,78,135,2.9,2,9.6,Low,Decreased,65042,Yes,Medium,Low
4809,27,Retail,Designer,0,MNC,Remote,3,3.1,Claude,31,35,0.6,1,9.6,Low,Increased,38368,Yes,Low,Low
4810,37,Retail,Designer,15,Large,Hybrid,1,3.7,Gemini,48,93,2.6,4,5.2,Low,Decreased,76605,No,High,Low
4811,30,Healthcare,Data Scientist,0,Small,Onsite,3,1.8,Gemini,54,121,4.1,3,7.3,Medium,Same,50509,Yes,Low,Low
4812,44,Finance,HR,17,Small,Remote,3,1.5,Midjourney,78,20,0.4,0,9.0,High,Same,72220,Yes,Medium,Low
4813,27,Retail,Software Developer,0,Large,Remote,4,0.4,Midjourney,22,158,5.5,5,9.2,High,Decreased,41703,No,Medium,Low
4814,38,Tech,Software Developer,9,Small,Hybrid,0,0.9,Claude,74,16,5.3,2,4.5,Medium,Decreased,49712,No,Medium,Low
4815,31,Finance,Software Engineer,0,MNC,Onsite,1,0.9,Claude,26,4,4.2,6,7.9,High,Same,45634,No,Low,Low
4816,42,Healthcare,Manager,18,Large,Onsite,3,0.1,Copilot,1,157,2.9,0,7.0,Medium,Same,76567,No,Low,Low
4817,50,Healthcare,Manager,4,MNC,Hybrid,0,3.2,Grok,60,104,1.7,6,4.7,High,Same,50048,No,Medium,High
4818,47,Education,Software Developer,20,Medium,Hybrid,1,0.8,Grok,44,63,0.8,3,4.9,Medium,Same,81278,No,Medium,Low
4819,40,Marketing,Data Scientist,14,MNC,Onsite,0,4.7,ChatGPT,62,41,5.4,5,5.9,Low,Decreased,70475,No,Medium,Low
4820,47,Healthcare,Manager,0,Large,Remote,3,3.9,ChatGPT,40,35,4.8,6,5.6,High,Decreased,47819,Yes,High,Low
4821,40,Healthcare,Software Developer,10,Small,Remote,3,3.0,ChatGPT,15,26,3.4,4,9.8,Medium,Increased,59707,No,High,Low
4822,54,Finance,Software Engineer,22,Large,Onsite,2,0.8,Grok,48,29,3.2,0,7.0,High,Decreased,78534,Yes,Medium,Low
4823,45,Healthcare,Designer,15,MNC,Hybrid,0,1.1,ChatGPT,31,174,0.2,6,5.3,High,Same,57717,No,High,Low
4824,36,Healthcare,Manager,1,MNC,Onsite,1,0.6,Claude,21,13,3.9,1,8.0,Low,Increased,33504,No,High,Low
4825,37,Tech,Data Analyst,15,Small,Remote,1,2.4,Copilot,47,81,5.1,5,6.8,Low,Decreased,58541,No,High,Low
4826,39,Tech,Data Scientist,17,Large,Hybrid,0,0.8,Grok,0,105,5.2,2,6.6,High,Increased,75255,No,Low,Low
4827,53,Healthcare,HR,30,MNC,Hybrid,1,3.7,Copilot,44,22,3.8,3,8.6,Medium,Decreased,100475,No,Medium,Low
4828,32,Education,Software Developer,9,MNC,Hybrid,0,1.0,Gemini,10,35,0.1,6,8.1,High,Same,49415,No,Medium,Low
4829,41,Healthcare,Data Scientist,18,Small,Hybrid,1,3.7,Copilot,49,42,3.7,0,9.8,Medium,Decreased,81029,No,High,Low
4830,35,Marketing,Software Developer,8,Medium,Hybrid,2,4.4,Midjourney,5,98,3.8,0,7.3,High,Increased,47390,No,Medium,Low
4831,49,Marketing,Consultant,1,Large,Remote,0,1.5,Copilot,58,151,0.1,6,9.1,Medium,Same,32596,No,Medium,Low
4832,22,Healthcare,Designer,0,Medium,Hybrid,3,5.0,Grok,51,109,2.7,1,8.9,High,Same,41215,Yes,Medium,High
4833,48,Finance,Software Engineer,17,MNC,Hybrid,1,3.9,Midjourney,7,5,2.9,4,4.7,Medium,Same,63823,No,Low,Low
4834,41,Marketing,Manager,7,Medium,Onsite,4,1.4,Gemini,63,53,4.1,7,7.0,Low,Increased,64514,Yes,Medium,Low
4835,22,Healthcare,Data Scientist,0,MNC,Onsite,2,1.0,Grok,59,160,2.0,3,9.4,High,Same,43486,Yes,Low,Low
4836,28,Retail,Software Developer,5,Large,Onsite,4,1.2,Grok,51,117,3.1,4,4.9,Low,Same,55828,Yes,High,Low
4837,41,Tech,Designer,6,Large,Remote,2,4.9,Claude,73,153,1.5,4,9.8,Low,Increased,48159,Yes,Low,High
4838,25,Education,Software Developer,0,Large,Remote,3,4.3,Claude,54,65,0.9,2,4.4,High,Decreased,46316,Yes,Low,Low
4839,54,Retail,HR,2,MNC,Remote,3,1.7,Claude,7,104,1.6,3,4.7,Low,Same,45522,No,High,Low
